類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,生鮮食品及びエネルギーを除く総合
Group/Item,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication,"All items, less fresh food and energy"
類・品目符号(Group/Item code),0001,0161,0163,0166,0168,0002,0157,0172,0003,0008,0158,0013,0016,0021,0159,0027,0160,0030,0033,0034,0037,0041,0042,0045,0164,0046,0165,0051,0054,0056,0057,0058,0059,0060,0061,0066,0070,0073,0077,0081,0082,0083,0084,0085,0089,0090,0094,0098,0103,0106,0107,0108,0109,0110,0111,0112,0113,0117,0118,0119,0120,0121,0122,0123,0128,0134,0138,0145,0146,0147,0151,0155,0156,0167,0162,0173,0169,0178
含類総連番(Serial number),001,737,739,742,744,002,733,738,003,023,734,058,070,083,735,134,736,155,178,196,223,242,252,281,740,282,741,290,309,310,312,315,317,320,321,338,343,349,364,379,387,388,389,392,422,423,440,451,458,466,471,472,486,498,504,505,523,549,557,558,570,573,577,578,590,627,639,677,678,685,710,722,725,743,745,746,747,748
ウエイト(Weight),3139338474,3009367190,2668838854,2538867570,2107447669,823299511,129971284,693328227,65389146,68447756,39086504,75209191,36889047,90574112,60452893,32769540,30431887,35836771,73198122,98126000,46006658,37391064,163462104,655327030,184827410,559486051,88986431,95840979,233875366,111648533,56834114,12906356,52486363,109278268,34954064,7781194,8410744,22491850,27147399,8493017,129371336,54513682,2027016,52486666,38501053,27242580,11258473,18059053,10788628,7508920,134980143,38000505,22521064,74458574,463398213,70276282,262595081,130526850,99303039,67705449,2536232,29061358,310444582,18581565,65856101,40075190,185931726,180060986,37057751,45383296,20694853,13713124,63211962,245982358,125483076,340697488,149285881,2763384832
ウエイト１万分比(Weight per 10000),10000,9586,8501,8087,6713,2623,414,2209,208,218,125,240,118,289,193,104,97,114,233,313,147,119,521,2087,589,1782,283,305,745,356,181,41,167,348,111,25,27,72,86,27,412,174,6,167,123,87,36,58,34,24,430,121,72,237,1476,224,836,416,316,216,8,93,989,59,210,128,592,574,118,145,66,44,201,784,400,1085,476,8802
1970  ,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971  ,6.3,6.6,6.1,6.4,6.7,6.0,3.2,6.7,2.7,15.0,18.8,3.8,5.6,2.0,-4.4,-4.5,-4.7,6.3,8.5,9.7,3.1,5.4,11.0,8.9,8.5,9.0,8.4,8.6,3.5,-0.1,2.8,14.6,,4.6,1.7,7.8,5.4,7.6,5.7,8.6,9.7,11.1,14.6,9.9,8.9,8.5,9.3,7.7,8.0,10.6,1.7,3.1,6.5,0.8,3.8,4.3,4.1,2.4,8.2,6.5,14.7,,7.1,-2.0,5.1,14.6,9.3,4.7,13.7,3.1,5.1,0.0,0.8,4.5,,,,6.7
1972  ,4.9,5.3,4.5,5.0,5.6,3.9,-0.1,4.9,3.9,4.8,3.9,5.2,3.9,0.5,-5.0,0.2,0.2,2.6,6.1,6.7,1.1,0.0,7.7,9.5,8.1,9.6,8.0,8.1,1.7,-0.3,3.7,1.5,,1.6,-0.6,3.5,2.4,4.0,1.7,9.2,5.7,6.6,11.2,4.7,4.0,3.3,4.7,6.6,4.3,8.4,9.2,3.5,8.5,11.5,3.7,5.2,1.5,4.6,7.4,9.1,1.1,,4.9,-0.6,7.0,5.9,5.9,3.9,13.2,0.3,3.0,0.0,1.1,1.5,,,,5.6
1973  ,11.7,11.4,11.7,11.4,10.9,13.0,15.1,12.6,8.6,13.8,12.4,20.0,11.2,26.1,30.2,1.7,1.7,11.0,8.7,19.6,3.2,4.8,14.5,11.4,13.6,9.5,8.5,20.1,5.1,-0.2,10.5,9.5,,10.4,8.9,7.0,16.0,12.3,9.7,9.4,22.8,25.3,28.3,24.2,18.5,21.9,15.7,18.3,11.7,14.3,-1.2,3.1,5.4,-3.1,6.6,7.7,7.9,1.7,11.4,11.8,10.1,,9.6,2.8,12.4,12.3,10.2,7.0,19.8,-4.5,13.8,0.0,11.0,7.2,,,,11.5
1974  ,23.2,22.5,24.5,23.8,19.4,27.7,30.6,26.9,23.9,31.4,30.8,18.9,30.8,31.1,35.0,24.0,24.2,34.3,42.2,39.3,20.9,16.0,24.7,14.3,23.6,7.7,7.6,41.4,25.4,14.2,30.4,49.9,,36.5,39.7,28.1,24.9,41.2,42.2,19.9,22.7,20.7,18.8,21.6,27.0,22.2,31.3,33.1,22.1,27.3,8.2,5.7,39.4,6.2,18.6,13.9,32.4,1.3,17.7,17.2,19.4,,22.5,17.8,29.3,36.4,14.7,18.1,37.7,11.4,24.8,0.0,11.7,33.1,,,,22.0
